YEAR,MO,DY,HR,T2M,QV2M
2023,1,11,15,28.69,17.64
2023,1,11,16,27.49,17.94
2023,1,11,17,25.5,17.88
2023,1,11,18,24.53,17.46
2023,1,11,19,24.08,17.4
2023,1,11,20,23.83,17.33
2023,1,11,21,23.68,17.33
2023,1,11,22,23.5,17.33
2023,1,11,23,23.32,17.27
2023,1,12,0,23.07,17.21
2023,1,12,1,22.6,17.09
2023,1,12,2,22.34,16.91
2023,1,12,3,22.14,16.72
2023,1,12,4,21.94,16.54
2023,1,12,5,21.76,16.36
2023,1,12,6,22.46,16.66
2023,1,12,7,24.4,17.21
2023,1,12,8,26.31,17.21
2023,1,12,9,27.94,17.09
2023,1,12,10,28.92,17.33
2023,1,12,11,29.46,17.58
2023,1,12,12,29.71,17.76
2023,1,12,13,29.65,17.76
2023,1,12,14,29.31,17.7
2023,1,12,15,28.55,17.7
2023,1,12,16,27.55,17.94
2023,1,12,17,25.83,18.19
2023,1,12,18,24.75,17.76
2023,1,12,19,24.27,17.58
2023,1,12,20,23.89,17.46
2023,1,12,21,23.59,17.4
2023,1,12,22,23.45,17.46
2023,1,12,23,23.32,17.4
2023,1,13,0,23.14,17.4
2023,1,13,1,22.96,17.33
2023,1,13,2,22.84,17.27
2023,1,13,3,22.69,17.21
2023,1,13,4,22.46,17.09
2023,1,13,5,22.22,16.91
2023,1,13,6,22.96,17.21
2023,1,13,7,24.99,17.64
2023,1,13,8,26.67,17.46
2023,1,13,9,28.2,17.58
2023,1,13,10,29.44,17.76
2023,1,13,11,30.34,18.01
2023,1,13,12,30.87,18.07
2023,1,13,13,30.98,18.13
2023,1,13,14,30.77,18.07
2023,1,13,15,30.18,18.13
2023,1,13,16,29.4,18.86
2023,1,13,17,27.72,19.53
2023,1,13,18,26.65,19.1
2023,1,13,19,26.1,18.74
2023,1,13,20,25.5,18.43
2023,1,13,21,24.92,18.25
2023,1,13,22,24.43,18.07
2023,1,13,23,24.04,18.01
2023,1,14,0,23.68,18.01
2023,1,14,1,23.37,17.88
2023,1,14,2,23.17,17.76
2023,1,14,3,23.05,17.64
2023,1,14,4,22.98,17.58
2023,1,14,5,23.01,17.46
2023,1,14,6,23.76,17.88
2023,1,14,7,25.57,18.19
2023,1,14,8,27.35,18.19
2023,1,14,9,28.87,18.37
2023,1,14,10,29.75,18.62
2023,1,14,11,30.43,18.8
2023,1,14,12,30.89,18.92
2023,1,14,13,30.98,18.92
2023,1,14,14,30.83,18.98
2023,1,14,15,30.24,19.23
2023,1,14,16,29.55,19.84
2023,1,14,17,27.97,20.2
2023,1,14,18,26.88,19.59
2023,1,14,19,26.4,19.23
2023,1,14,20,26.01,18.98
2023,1,14,21,25.63,18.62
2023,1,14,22,25.15,18.13
2023,1,14,23,24.69,17.82
2023,1,15,0,24.2,17.58
2023,1,15,1,23.57,17.4
2023,1,15,2,22.96,17.21
2023,1,15,3,22.47,17.09
2023,1,15,4,22.08,16.85
2023,1,15,5,21.73,16.6
2023,1,15,6,22.35,16.6
2023,1,15,7,24.3,17.27
2023,1,15,8,27.01,17.58
2023,1,15,9,29.37,17.09
2023,1,15,10,30.29,16.97
2023,1,15,11,30.87,16.85
2023,1,15,12,31.19,16.78
2023,1,15,13,31.25,16.78
2023,1,15,14,31.08,16.78
2023,1,15,15,30.65,16.97
2023,1,15,16,29.96,17.15
2023,1,15,17,27.88,17.33
2023,1,15,18,27.51,15.81
2023,1,15,19,27.47,15.14
2023,1,15,20,26.17,15.38
2023,1,15,21,24.94,15.56
2023,1,15,22,23.95,15.69
2023,1,15,23,23.4,15.93
2023,1,16,0,22.94,16.17
2023,1,16,1,22.65,16.42
2023,1,16,2,22.41,16.6
2023,1,16,3,22.3,16.6
2023,1,16,4,22.3,16.6
2023,1,16,5,22.23,16.48
2023,1,16,6,22.86,16.91
2023,1,16,7,25.05,17.64
2023,1,16,8,27.44,17.33
2023,1,16,9,28.98,17.15
2023,1,16,10,29.83,16.85
2023,1,16,11,30.38,16.54
2023,1,16,12,30.69,16.17
2023,1,16,13,30.73,15.75
2023,1,16,14,30.49,15.44
2023,1,16,15,29.94,15.38
2023,1,16,16,29.24,15.08
2023,1,16,17,26.98,15.5
2023,1,16,18,25.9,14.47
2023,1,16,19,25.38,14.1
2023,1,16,20,24.26,14.34
2023,1,16,21,23.13,14.77
2023,1,16,22,22.7,14.95
2023,1,16,23,22.54,14.95
2023,1,17,0,22.0,14.83
2023,1,17,1,21.19,14.53
2023,1,17,2,20.43,14.16
2023,1,17,3,20.05,13.85
2023,1,17,4,19.74,13.55
2023,1,17,5,19.31,13.06
2023,1,17,6,20.11,13.49
2023,1,17,7,22.58,13.79
2023,1,17,8,24.87,14.34
2023,1,17,9,27.15,14.77
2023,1,17,10,28.63,15.08
2023,1,17,11,29.55,15.26
2023,1,17,12,30.04,15.14
2023,1,17,13,30.12,15.14
2023,1,17,14,30.01,15.26
2023,1,17,15,29.54,15.38
2023,1,17,16,28.93,15.81
2023,1,17,17,27.22,16.66
2023,1,17,18,26.41,15.75
2023,1,17,19,26.01,15.38
2023,1,17,20,25.6,15.26
2023,1,17,21,24.74,15.5
2023,1,17,22,23.67,15.81
2023,1,17,23,23.19,15.56
2023,1,18,0,22.62,15.01
2023,1,18,1,21.9,14.4
2023,1,18,2,21.23,13.92
2023,1,18,3,20.71,13.55
2023,1,18,4,20.31,13.37
2023,1,18,5,20.04,13.24
2023,1,18,6,20.58,13.55
2023,1,18,7,22.87,13.24
2023,1,18,8,25.11,13.55
2023,1,18,9,27.1,14.22
2023,1,18,10,28.62,14.77
2023,1,18,11,29.68,15.08
2023,1,18,12,30.4,15.26
2023,1,18,13,30.65,15.32
2023,1,18,14,30.41,15.38
2023,1,18,15,30.1,15.81
2023,1,18,16,28.95,15.81
2023,1,18,17,26.77,17.27
2023,1,18,18,25.69,16.72
2023,1,18,19,25.15,16.36
2023,1,18,20,24.61,16.17
2023,1,18,21,23.94,15.75
2023,1,18,22,23.26,15.38
2023,1,18,23,22.63,14.95
2023,1,19,0,22.05,14.47
2023,1,19,1,21.56,13.98
2023,1,19,2,21.13,13.61
2023,1,19,3,20.75,13.37
2023,1,19,4,20.4,13.24
2023,1,19,5,20.19,13.18
2023,1,19,6,20.64,13.31
2023,1,19,7,22.18,12.94
2023,1,19,8,24.04,13.24
2023,1,19,9,25.55,13.79
2023,1,19,10,26.69,14.4
2023,1,19,11,27.65,14.83
2023,1,19,12,28.22,15.08
2023,1,19,13,28.44,15.26
2023,1,19,14,28.43,15.5
2023,1,19,15,28.28,16.11
2023,1,19,16,27.87,16.17
2023,1,19,17,26.05,17.21
2023,1,19,18,25.05,16.66
2023,1,19,19,24.43,16.48
2023,1,19,20,23.91,16.24
2023,1,19,21,23.44,15.93
2023,1,19,22,22.98,15.62
2023,1,19,23,22.53,15.26
2023,1,20,0,22.06,14.95
2023,1,20,1,21.6,14.59
2023,1,20,2,21.18,14.28
2023,1,20,3,20.61,13.92
2023,1,20,4,20.05,13.49
2023,1,20,5,19.69,13.24
2023,1,20,6,20.16,13.12
2023,1,20,7,22.04,13.31
2023,1,20,8,24.95,14.04
2023,1,20,9,26.82,14.77
2023,1,20,10,28.13,15.5
2023,1,20,11,29.14,15.99
2023,1,20,12,29.83,16.36
2023,1,20,13,30.06,16.54
2023,1,20,14,29.94,16.54
2023,1,20,15,29.42,16.6
2023,1,20,16,28.65,17.21
2023,1,20,17,26.93,18.13
2023,1,20,18,26.01,17.76
2023,1,20,19,25.57,17.52
2023,1,20,20,25.05,17.4
2023,1,20,21,24.43,17.27
2023,1,20,22,23.83,16.72
2023,1,20,23,23.37,16.24
2023,1,21,0,23.12,15.87
2023,1,21,1,22.96,15.44
2023,1,21,2,22.69,15.14
2023,1,21,3,22.4,14.89
2023,1,21,4,22.31,14.65
2023,1,21,5,21.73,14.47
2023,1,21,6,21.9,14.77
2023,1,21,7,23.64,14.59
2023,1,21,8,25.83,14.77
2023,1,21,9,27.56,15.32
2023,1,21,10,28.95,15.99
2023,1,21,11,30.15,16.48
2023,1,21,12,31.01,16.78
2023,1,21,13,31.38,16.91
2023,1,21,14,31.29,16.97
2023,1,21,15,30.75,17.09
2023,1,21,16,30.19,17.46
2023,1,21,17,28.65,18.43
2023,1,21,18,27.79,17.76
2023,1,21,19,27.47,17.27
2023,1,21,20,27.15,16.85
2023,1,21,21,26.63,16.78
2023,1,21,22,26.05,17.09
2023,1,21,23,25.49,17.33
2023,1,22,0,24.99,17.46
2023,1,22,1,24.33,17.52
2023,1,22,2,23.8,17.09
2023,1,22,3,23.33,16.6
2023,1,22,4,22.96,16.3
2023,1,22,5,22.8,16.17
2023,1,22,6,23.16,16.24
2023,1,22,7,24.21,15.87
2023,1,22,8,25.73,16.11
2023,1,22,9,28.01,16.54
2023,1,22,10,30.14,17.21
2023,1,22,11,31.3,17.58
2023,1,22,12,31.8,17.7
2023,1,22,13,31.78,17.7
2023,1,22,14,31.41,17.82
2023,1,22,15,31.29,18.13
2023,1,22,16,30.24,18.25
2023,1,22,17,28.96,18.68
2023,1,22,18,28.16,18.49
2023,1,22,19,27.44,18.68
2023,1,22,20,26.87,18.49
2023,1,22,21,26.44,18.31
2023,1,22,22,26.28,17.88
2023,1,22,23,26.14,17.7
2023,1,23,0,25.73,18.13
2023,1,23,1,25.3,17.88
2023,1,23,2,24.94,17.46
2023,1,23,3,24.61,17.27
2023,1,23,4,24.36,17.09
2023,1,23,5,23.88,16.97
2023,1,23,6,24.06,17.4
2023,1,23,7,25.84,17.27
2023,1,23,8,27.8,17.21
2023,1,23,9,29.21,17.52
2023,1,23,10,29.94,17.64
2023,1,23,11,30.47,17.76
2023,1,23,12,30.82,17.76
2023,1,23,13,31.08,17.7
2023,1,23,14,31.16,17.52
2023,1,23,15,31.12,17.27
2023,1,23,16,30.79,17.64
2023,1,23,17,28.69,18.74
2023,1,23,18,27.01,18.43
2023,1,23,19,26.13,18.31
2023,1,23,20,25.44,18.25
2023,1,23,21,24.93,18.19
2023,1,23,22,24.55,18.07
2023,1,23,23,24.28,17.88
2023,1,24,0,24.1,17.58
2023,1,24,1,23.76,17.27
2023,1,24,2,23.29,16.97
2023,1,24,3,22.82,16.66
2023,1,24,4,22.44,16.36
2023,1,24,5,22.2,16.11
2023,1,24,6,22.97,16.42
2023,1,24,7,25.13,16.48
2023,1,24,8,27.13,16.42
2023,1,24,9,28.73,16.66
2023,1,24,10,30.15,16.78
2023,1,24,11,31.38,16.72
2023,1,24,12,32.26,16.72
2023,1,24,13,32.59,16.78
2023,1,24,14,32.44,16.66
2023,1,24,15,31.53,16.97
2023,1,24,16,30.01,17.88
2023,1,24,17,27.5,17.94
2023,1,24,18,26.19,17.15
2023,1,24,19,25.62,16.72
2023,1,24,20,25.1,16.24
2023,1,24,21,24.38,15.62
2023,1,24,22,23.54,14.95
2023,1,24,23,22.84,14.4
2023,1,25,0,22.32,13.92
2023,1,25,1,21.87,13.49
2023,1,25,2,21.37,13.18
2023,1,25,3,20.9,13.0
2023,1,25,4,20.7,13.06
2023,1,25,5,20.49,13.12
2023,1,25,6,20.8,13.18
2023,1,25,7,22.69,12.63
2023,1,25,8,24.89,12.82
2023,1,25,9,26.6,13.31
2023,1,25,10,27.85,13.79
2023,1,25,11,28.75,14.1
2023,1,25,12,29.28,14.28
2023,1,25,13,29.56,14.34
2023,1,25,14,29.57,14.47
2023,1,25,15,29.26,14.65
2023,1,25,16,28.64,15.2
2023,1,25,17,26.37,16.42
2023,1,25,18,25.01,15.81
2023,1,25,19,24.34,15.38
2023,1,25,20,23.63,14.83
2023,1,25,21,22.86,14.16
2023,1,25,22,22.07,13.55
2023,1,25,23,21.35,13.06
2023,1,26,0,20.76,12.7
2023,1,26,1,20.3,12.57
2023,1,26,2,19.95,12.39
2023,1,26,3,19.72,12.33
2023,1,26,4,19.55,12.39
2023,1,26,5,19.37,12.45
2023,1,26,6,19.74,12.39
2023,1,26,7,21.65,12.27
2023,1,26,8,24.13,12.76
2023,1,26,9,26.4,13.55
2023,1,26,10,28.63,14.16
2023,1,26,11,30.03,14.71
2023,1,26,12,30.85,15.14
2023,1,26,13,31.17,15.32
2023,1,26,14,31.04,15.44
2023,1,26,15,30.51,15.62
2023,1,26,16,29.83,16.17
2023,1,26,17,27.87,17.64
2023,1,26,18,26.73,17.15
2023,1,26,19,26.41,16.66
2023,1,26,20,26.17,16.24
2023,1,26,21,26.09,15.69
2023,1,26,22,25.62,16.05
2023,1,26,23,25.1,15.81
2023,1,27,0,24.56,15.75
2023,1,27,1,23.83,15.81
2023,1,27,2,23.3,15.75
2023,1,27,3,22.73,15.75
2023,1,27,4,22.4,15.62
2023,1,27,5,22.1,15.38
2023,1,27,6,22.53,15.5
2023,1,27,7,24.26,15.08
2023,1,27,8,26.35,15.08
2023,1,27,9,28.3,15.32
2023,1,27,10,29.74,15.69
2023,1,27,11,30.5,15.99
2023,1,27,12,30.84,16.11
2023,1,27,13,30.8,16.17
2023,1,27,14,30.35,16.24
2023,1,27,15,29.96,16.36
2023,1,27,16,29.22,16.85
2023,1,27,17,27.94,17.09
2023,1,27,18,26.73,17.33
2023,1,27,19,25.82,17.88
2023,1,27,20,25.19,17.76
2023,1,27,21,24.44,17.21
2023,1,27,22,23.62,16.42
2023,1,27,23,22.95,15.38
2023,1,28,0,22.33,14.53
2023,1,28,1,21.75,14.22
2023,1,28,2,21.38,14.1
2023,1,28,3,21.06,13.92
2023,1,28,4,20.76,13.79
2023,1,28,5,20.59,13.61
2023,1,28,6,21.39,14.1
2023,1,28,7,23.75,13.98
2023,1,28,8,25.73,13.61
2023,1,28,9,27.27,13.79
2023,1,28,10,28.5,14.1
2023,1,28,11,29.41,14.34
2023,1,28,12,29.98,14.59
2023,1,28,13,30.2,14.71
2023,1,28,14,30.08,14.71
2023,1,28,15,29.58,14.83
2023,1,28,16,28.34,15.44
2023,1,28,17,26.29,16.24
2023,1,28,18,25.12,15.32
2023,1,28,19,24.47,14.16
2023,1,28,20,23.54,13.0
2023,1,28,21,22.43,12.02
2023,1,28,22,21.5,11.6
2023,1,28,23,20.77,11.47
2023,1,29,0,20.12,11.6
2023,1,29,1,19.71,11.72
2023,1,29,2,19.48,11.72
2023,1,29,3,19.26,11.78
2023,1,29,4,19.01,11.78
2023,1,29,5,18.73,11.78
2023,1,29,6,19.47,11.9
2023,1,29,7,21.42,11.47
2023,1,29,8,23.45,11.78
2023,1,29,9,24.94,12.27
2023,1,29,10,26.1,12.76
2023,1,29,11,26.9,13.18
2023,1,29,12,27.4,13.55
2023,1,29,13,27.6,13.79
2023,1,29,14,27.53,14.04
2023,1,29,15,27.17,14.34
2023,1,29,16,26.55,14.83
2023,1,29,17,25.14,15.93
2023,1,29,18,24.14,15.38
2023,1,29,19,23.39,14.71
2023,1,29,20,22.69,13.98
2023,1,29,21,22.17,13.37
2023,1,29,22,21.45,12.7
2023,1,29,23,20.6,12.08
2023,1,30,0,19.76,11.66
2023,1,30,1,19.11,11.41
2023,1,30,2,18.61,11.29
2023,1,30,3,18.22,11.17
2023,1,30,4,17.92,11.17
2023,1,30,5,17.67,11.11
2023,1,30,6,18.34,11.05
2023,1,30,7,20.55,10.68
2023,1,30,8,22.73,11.05
2023,1,30,9,24.62,11.66
2023,1,30,10,26.29,12.27
2023,1,30,11,27.69,12.82
2023,1,30,12,28.75,13.18
2023,1,30,13,29.33,13.43
2023,1,30,14,29.42,13.55
2023,1,30,15,29.1,13.67
2023,1,30,16,28.28,14.22
2023,1,30,17,26.0,15.62
2023,1,30,18,24.6,15.08
2023,1,30,19,24.12,14.95
2023,1,30,20,23.69,14.89
2023,1,30,21,23.3,14.77
2023,1,30,22,22.94,14.59
2023,1,30,23,22.3,14.53
2023,1,31,0,21.46,14.4
2023,1,31,1,20.84,14.16
2023,1,31,2,20.37,13.85
2023,1,31,3,19.99,13.55
2023,1,31,4,19.73,13.24
2023,1,31,5,19.62,12.94
2023,1,31,6,20.26,13.06
2023,1,31,7,22.34,12.7
2023,1,31,8,24.84,13.12
2023,1,31,9,27.57,13.73
2023,1,31,10,29.18,14.1
2023,1,31,11,30.43,14.34
2023,1,31,12,31.01,14.4
2023,1,31,13,31.12,14.47
2023,1,31,14,31.01,14.53
2023,1,31,15,30.69,14.65
2023,1,31,16,29.92,15.38
2023,1,31,17,27.87,16.66
2023,1,31,18,25.83,16.66
2023,1,31,19,24.89,16.3
2023,1,31,20,24.23,16.3
2023,1,31,21,23.71,16.6
2023,1,31,22,23.28,16.85
2023,1,31,23,23.3,16.85
2023,2,1,0,23.25,16.72
2023,2,1,1,22.61,16.54
2023,2,1,2,22.32,16.36
2023,2,1,3,22.14,16.17
2023,2,1,4,21.98,15.99
2023,2,1,5,21.88,15.87
2023,2,1,6,22.23,15.87
2023,2,1,7,23.68,15.99
2023,2,1,8,25.83,16.3
2023,2,1,9,28.16,16.48
2023,2,1,10,29.73,16.66
2023,2,1,11,30.51,16.85
2023,2,1,12,30.76,16.97
2023,2,1,13,30.65,16.91
2023,2,1,14,30.02,16.97
2023,2,1,15,28.98,17.21
2023,2,1,16,27.65,17.52
2023,2,1,17,26.26,17.82
2023,2,1,18,25.55,18.01
2023,2,1,19,25.23,18.25
2023,2,1,20,25.08,18.13
2023,2,1,21,24.74,17.82
2023,2,1,22,24.17,17.58
2023,2,1,23,23.69,17.4
2023,2,2,0,23.32,17.27
2023,2,2,1,22.98,17.21
2023,2,2,2,22.7,17.09
2023,2,2,3,22.47,16.97
2023,2,2,4,22.26,16.91
2023,2,2,5,22.1,16.78
2023,2,2,6,23.05,17.03
2023,2,2,7,25.51,17.27
2023,2,2,8,28.03,17.27
2023,2,2,9,29.84,17.33
2023,2,2,10,30.97,17.4
2023,2,2,11,31.7,17.52
2023,2,2,12,32.18,17.64
2023,2,2,13,32.02,17.64
2023,2,2,14,31.71,17.64
2023,2,2,15,31.05,17.76
2023,2,2,16,29.83,18.19
2023,2,2,17,27.81,18.31
2023,2,2,18,26.58,18.01
2023,2,2,19,25.87,17.88
2023,2,2,20,25.27,17.88
2023,2,2,21,24.76,17.76
2023,2,2,22,24.34,17.52
2023,2,2,23,24.08,17.27
2023,2,3,0,24.0,17.15
2023,2,3,1,23.9,17.09
2023,2,3,2,23.87,17.09
2023,2,3,3,23.8,16.91
2023,2,3,4,23.6,16.6
2023,2,3,5,23.38,16.36
2023,2,3,6,23.82,16.85
2023,2,3,7,26.11,16.85
2023,2,3,8,28.23,16.66
2023,2,3,9,29.86,16.36
2023,2,3,10,31.25,15.87
2023,2,3,11,32.46,15.32
2023,2,3,12,33.3,14.89
2023,2,3,13,33.69,14.71
2023,2,3,14,33.57,14.77
2023,2,3,15,32.94,15.08
2023,2,3,16,31.6,15.87
2023,2,3,17,28.43,17.21
2023,2,3,18,26.66,16.54
2023,2,3,19,25.87,16.48
2023,2,3,20,25.21,16.54
2023,2,3,21,24.71,16.6
2023,2,3,22,24.31,16.54
2023,2,3,23,23.95,16.36
2023,2,4,0,23.61,16.17
2023,2,4,1,23.27,15.99
2023,2,4,2,22.93,15.81
2023,2,4,3,22.58,15.62
